subtime,comtime,bwpages,colpages
2013-07-11 09:14:27,2013-07-11 09:14:37,1,0
2013-07-11 11:11:28,2013-07-11 11:11:37,1,0
2013-07-11 11:21:30,2013-07-11 11:21:35,1,0
2013-07-11 11:27:07,2013-07-11 11:27:13,1,0
2013-07-11 11:28:02,2013-07-11 11:28:07,1,0
2013-07-11 14:20:17,2013-07-11 14:20:34,14,0
2013-07-11 15:24:26,2013-07-11 15:24:35,2,0
2013-07-11 15:29:20,2013-07-11 15:29:25,2,0
2013-07-11 15:41:09,2013-07-11 15:41:15,2,0
2013-07-11 15:48:34,2013-07-11 15:48:39,2,0
2013-07-11 15:56:15,2013-07-11 15:56:20,2,0
2013-07-11 16:28:46,2013-07-11 16:28:52,2,0
2013-07-11 16:30:18,2013-07-11 16:30:23,2,0
2013-07-12 10:49:33,2013-07-12 10:49:42,5,0
2013-07-12 11:02:59,2013-07-12 11:03:04,3,0
2013-07-12 11:30:13,2013-07-12 11:30:19,4,0
2013-07-12 11:46:12,2013-07-12 11:46:18,2,0
2013-07-12 12:31:48,2013-07-12 12:31:54,15,0
2013-07-12 13:02:50,2013-07-12 13:04:30,2,0
2013-07-12 13:49:30,2013-07-12 13:49:36,2,0
2013-07-12 13:50:11,2013-07-12 13:50:16,2,0
2013-07-12 14:15:46,2013-07-12 14:15:52,2,0
2013-07-12 15:23:57,2013-07-12 15:24:03,1,0
2013-07-12 16:58:53,2013-07-12 16:58:59,1,0
2013-07-12 17:11:17,2013-07-12 17:11:22,2,0
2013-07-12 17:46:27,2013-07-12 17:46:35,1,0
2013-07-12 17:48:28,2013-07-12 17:48:36,27,0
2013-07-15 10:15:48,2013-07-15 10:15:54,1,0
2013-07-15 15:33:31,2013-07-15 15:33:40,2,0
2013-07-15 16:45:44,2013-07-15 16:45:51,3,0
2013-07-15 17:39:33,2013-07-15 17:39:39,2,0
2013-07-16 09:24:32,2013-07-16 09:24:38,1,0
2013-07-16 10:28:40,2013-07-16 10:28:49,1,0
2013-07-16 17:29:57,2013-07-16 17:30:02,1,0
2013-07-16 17:37:09,2013-07-16 17:37:15,2,0
2013-07-17 10:56:34,2013-07-17 10:56:43,1,0
2013-07-17 16:52:18,2013-07-17 16:52:46,8,0
2013-07-18 09:24:04,2013-07-18 09:24:13,2,0
2013-07-18 09:28:00,2013-07-18 09:28:05,2,0
2013-07-18 09:31:55,2013-07-18 09:32:00,1,0
2013-07-18 09:38:54,2013-07-18 09:38:59,1,0
2013-07-18 10:58:22,2013-07-18 10:58:30,2,0
2013-07-18 10:58:24,2013-07-18 10:58:35,2,0
2013-07-18 10:59:25,2013-07-18 10:59:30,2,0
2013-07-18 11:01:05,2013-07-18 11:01:11,2,0
2013-07-18 11:13:47,2013-07-18 11:13:52,1,0
2013-07-18 12:14:14,2013-07-18 12:14:23,1,0
2013-07-18 14:35:37,2013-07-18 14:35:43,3,0
2013-07-18 15:19:19,2013-07-18 15:27:39,2,0
2013-07-18 15:52:49,2013-07-18 15:52:55,2,0
2013-07-18 16:19:31,2013-07-18 16:19:37,1,0
2013-07-19 08:36:16,2013-07-19 08:36:21,1,0
2013-07-19 08:36:24,2013-07-19 08:36:29,1,0
2013-07-19 09:18:22,2013-07-19 09:18:30,3,0
2013-07-19 10:21:28,2013-07-19 10:21:34,1,0
2013-07-19 13:16:56,2013-07-19 13:17:04,4,0
2013-07-19 16:06:11,2013-07-19 16:06:17,1,0
2013-07-19 16:25:10,2013-07-19 16:25:16,1,0
2013-07-22 11:12:38,2013-07-22 11:12:45,1,0
2013-07-22 13:09:52,2013-07-22 13:09:59,3,0
2013-07-22 13:10:03,2013-07-22 13:10:08,1,0
2013-07-24 10:19:25,2013-07-24 10:19:27,1,0
2013-07-24 10:47:35,2013-07-24 10:47:41,5,0
2013-07-24 11:55:13,2013-07-24 11:55:19,4,0
2013-07-24 13:57:52,2013-07-24 13:57:58,2,0
2013-07-25 09:09:49,2013-07-25 09:09:54,2,0
2013-07-26 14:54:26,2013-07-26 14:54:38,3,0
2013-07-26 15:54:32,2013-07-26 15:54:37,2,0
2013-07-26 15:54:46,2013-07-26 15:54:51,4,0
2013-07-26 15:55:03,2013-07-26 15:55:09,1,0
2013-07-29 10:15:05,2013-07-29 10:15:15,2,0
2013-07-29 10:51:21,2013-07-29 10:51:26,1,0
2013-07-29 15:25:11,2013-07-29 15:25:19,5,0
2013-07-29 15:25:42,2013-07-29 15:25:58,6,0
2013-07-29 19:00:16,2013-07-29 19:00:27,3,0
2013-07-30 14:59:28,2013-07-30 14:59:36,1,0
2013-07-30 16:52:53,2013-07-30 16:53:03,1,0
2013-07-30 16:53:36,2013-07-30 16:53:43,1,0
2013-07-31 09:37:38,2013-07-31 09:37:47,4,0
2013-07-31 11:37:11,2013-07-31 11:37:19,2,0
2013-07-31 11:37:35,2013-07-31 11:37:39,1,0
2013-07-31 11:38:06,2013-07-31 11:38:12,1,0
2013-08-01 12:51:10,2013-08-01 12:51:26,14,0
2013-08-01 12:51:15,2013-08-01 12:51:31,1,0
2013-08-01 14:08:59,2013-08-01 14:09:06,1,0
2013-08-02 10:58:36,2013-08-06 14:25:03,1,0
2013-08-05 09:25:05,2013-08-06 14:25:27,1,0
2013-08-05 11:02:42,2013-08-06 14:25:34,1,0
2013-08-05 11:03:30,2013-08-06 14:25:41,3,0
2013-08-05 15:39:35,2013-08-06 14:25:46,2,0
2013-08-06 12:01:50,2013-08-06 14:25:51,1,0
2013-08-06 16:08:04,2013-08-06 16:08:10,1,0
2013-08-06 16:08:40,2013-08-06 16:08:46,1,0
2013-08-06 16:42:18,2013-08-06 16:42:26,4,0
2013-08-08 09:37:06,2013-08-08 09:37:12,1,0
2013-08-08 09:44:25,2013-08-08 09:44:29,2,0
2013-08-08 10:50:05,2013-08-08 10:50:11,1,0
2013-08-08 11:51:39,2013-08-08 11:51:44,2,0
2013-08-08 11:53:53,2013-08-08 11:53:59,2,0
2013-08-08 16:06:50,2013-08-08 16:06:56,1,0
2013-08-08 17:43:40,2013-08-08 17:43:49,5,0
2013-08-08 18:25:58,2013-08-08 18:26:04,1,0
2013-08-09 11:08:41,2013-08-09 11:08:46,2,0
2013-08-09 12:42:58,2013-08-09 12:43:08,5,0
2013-08-09 14:17:32,2013-08-09 14:17:38,4,0
2013-08-09 15:16:47,2013-08-09 15:16:53,2,0
2013-08-09 15:21:11,2013-08-09 15:21:16,2,0
2013-08-09 15:35:05,2013-08-09 15:35:10,1,0
2013-08-09 15:57:14,2013-08-09 15:57:20,2,0
2013-08-09 17:02:31,2013-08-09 17:02:38,2,0
